using device: mps
Total Parameters: 30,142,848
Trainable Parameters: 30,142,848
Model Size: 114.99 MB

Size by component:
transformer: 114.99 MB
loaded 338025 tokens
1 epoch = 82 batches
Training for 20000 steps
step 1140, loss: 4.3429, avg_loss: 4.6309, best_loss: 4.1964, lr: 1.30e-04, time/batch: 1.089s
step 1150, loss: 4.7402, avg_loss: 4.6061, best_loss: 4.1776, lr: 1.31e-04, time/batch: 0.978s
step 1160, loss: 4.4350, avg_loss: 4.5944, best_loss: 4.1776, lr: 1.33e-04, time/batch: 0.992s
step 1170, loss: 4.6680, avg_loss: 4.5623, best_loss: 4.0734, lr: 1.34e-04, time/batch: 1.058s
step 1180, loss: 4.5053, avg_loss: 4.5658, best_loss: 4.0734, lr: 1.35e-04, time/batch: 0.975s
step 1190, loss: 4.3744, avg_loss: 4.5629, best_loss: 4.0734, lr: 1.37e-04, time/batch: 0.994s
step 1200, loss: 4.8485, avg_loss: 4.5409, best_loss: 4.0734, lr: 1.38e-04, time/batch: 1.034s
step 1210, loss: 4.5254, avg_loss: 4.5544, best_loss: 4.0734, lr: 1.39e-04, time/batch: 0.984s
step 1220, loss: 4.4954, avg_loss: 4.5302, best_loss: 4.0734, lr: 1.41e-04, time/batch: 1.031s
step 1230, loss: 4.6460, avg_loss: 4.4866, best_loss: 4.0462, lr: 1.42e-04, time/batch: 0.995s
step 1240, loss: 4.5232, avg_loss: 4.4806, best_loss: 4.0462, lr: 1.43e-04, time/batch: 0.989s
step 1250, loss: 4.3230, avg_loss: 4.4554, best_loss: 4.0180, lr: 1.45e-04, time/batch: 1.055s
step 1260, loss: 4.2907, avg_loss: 4.4553, best_loss: 3.9709, lr: 1.46e-04, time/batch: 0.979s
step 1270, loss: 4.3344, avg_loss: 4.4565, best_loss: 3.9709, lr: 1.47e-04, time/batch: 1.043s
step 1280, loss: 4.3465, avg_loss: 4.4336, best_loss: 3.9709, lr: 1.49e-04, time/batch: 0.987s
step 1290, loss: 4.7035, avg_loss: 4.4477, best_loss: 3.9709, lr: 1.50e-04, time/batch: 1.004s
step 1300, loss: 4.0529, avg_loss: 4.4297, best_loss: 3.9709, lr: 1.51e-04, time/batch: 1.002s
step 1310, loss: 4.6551, avg_loss: 4.3780, best_loss: 3.9275, lr: 1.52e-04, time/batch: 0.991s
step 1320, loss: 4.2166, avg_loss: 4.3755, best_loss: 3.9275, lr: 1.54e-04, time/batch: 1.026s
step 1330, loss: 4.3898, avg_loss: 4.3649, best_loss: 3.9158, lr: 1.55e-04, time/batch: 0.999s
step 1340, loss: 4.4417, avg_loss: 4.3593, best_loss: 3.8994, lr: 1.56e-04, time/batch: 1.034s
step 1350, loss: 4.2716, avg_loss: 4.3626, best_loss: 3.8994, lr: 1.57e-04, time/batch: 0.978s
step 1360, loss: 4.2278, avg_loss: 4.3405, best_loss: 3.8994, lr: 1.58e-04, time/batch: 1.016s
step 1370, loss: 4.4189, avg_loss: 4.3498, best_loss: 3.8994, lr: 1.60e-04, time/batch: 1.002s
step 1380, loss: 4.1394, avg_loss: 4.3455, best_loss: 3.8994, lr: 1.61e-04, time/batch: 1.002s
step 1390, loss: 3.8612, avg_loss: 4.2883, best_loss: 3.8452, lr: 1.62e-04, time/batch: 1.014s
step 1400, loss: 4.0597, avg_loss: 4.2864, best_loss: 3.8246, lr: 1.63e-04, time/batch: 1.018s
step 1410, loss: 3.8278, avg_loss: 4.2767, best_loss: 3.8246, lr: 1.64e-04, time/batch: 1.015s
step 1420, loss: 4.2813, avg_loss: 4.2614, best_loss: 3.7960, lr: 1.65e-04, time/batch: 1.021s
step 1430, loss: 4.1791, avg_loss: 4.2619, best_loss: 3.7960, lr: 1.66e-04, time/batch: 1.017s
step 1440, loss: 4.1840, avg_loss: 4.2454, best_loss: 3.7960, lr: 1.68e-04, time/batch: 1.016s
step 1450, loss: 4.8428, avg_loss: 4.2421, best_loss: 3.7960, lr: 1.69e-04, time/batch: 1.017s
step 1460, loss: 4.1881, avg_loss: 4.2456, best_loss: 3.7960, lr: 1.70e-04, time/batch: 1.022s
